Parent	Rule	D1	D2	revisedXrule	revisedYrule	revisedZrule
ABalappap	0	ABalappapa	ABalappapp	0.634029887	-0.090486466	-0.648192583
ABalapppa	0	ABalapppaa	ABalapppap	0.882711719	-0.134127862	-0.233184655
ABalapppp	0	ABalappppa	ABalappppp	0.935193285	0.108192975	-0.004767469
ABalpaaaa	0	ABalpaaaaa	ABalpaaaap	0.746199629	0.29400813	0.409724949
ABalpaaap	0	ABalpaaapa	ABalpaaapp	0.937853349	0.124740116	0.064278136
ABalpaapp	0	ABalpaappa	ABalpaappp	0.918503216	0.193289303	0.169528491
ABalpapaa	0	ABalpapaaa	ABalpapaap	0.902624364	0.011263983	0.186356527
ABalpapap	0	ABalpapapa	ABalpapapp	0.910533099	-0.09481783	0.150613569
ABalppaaa	0	ABalppaaaa	ABalppaaap	0.580297917	0.662920623	-0.073519847
ABalppaap	0	ABalppaapa	ABalppaapp	0.698748296	0.203926604	-0.468669362
ABalppapa	0	ABalppapaa	ABalppapap	0.847281108	0.049819513	0.213339927
ABalppapp	0	ABalppappa	ABalppappp	0.909981635	0.214690613	-0.106653944
ABalpppaa	0	ABalpppaaa	ABalpppaap	0.607247545	0.053455162	-0.648967817
ABalpppap	0	ABalpppapa	ABalpppapp	0.724823159	0.053630564	-0.627594529
ABalppppa	0	ABalppppaa	ABalppppap	0.838052008	0.276575184	-0.332840988
ABaraaaaa	0	ABaraaaaaa	ABaraaaaap	0.478901537	-0.813531364	-0.084473215
ABaraaapp	0	ABaraaappa	ABaraaappp	0.943956196	-0.057193222	0.109345428
ABaraapaa	0	ABaraapaaa	ABaraapaap	0.870619952	0.098113441	-0.04654103
ABaraapap	0	ABaraapapa	ABaraapapp	0.887809139	0.018439732	-0.011363609
ABaraappa	0	ABaraappaa	ABaraappap	0.939280772	0.08725028	-0.096815842
ABaraappp	0	ABaraapppa	ABaraapppp	0.906598139	0.109203797	-0.248633287
ABarapaaa	0	ABarapaaaa	ABarapaaap	0.839313204	0.190126397	0.240779612
ABarapaap	0	ABarapaapa	ABarapaapp	0.87394463	0.263025682	-0.013999077
ABarapapa	0	ABarapapaa	ABarapapap	0.896832387	0.280708164	0.053939309
ABarappaa	0	ABarappaaa	ABarappaap	0.947887938	-0.008856534	-0.06588837
ABarappap	0	ABarappapa	ABarappapp	0.95096424	0.107555941	0.005645468
ABarapppa	0	ABarapppaa	ABarapppap	0.899411406	-0.087087581	-0.064795783
ABarapppp	0	ABarappppa	ABarappppp	0.883472486	-0.150339945	-0.257403913
ABarpaaaa	0	ABarpaaaaa	ABarpaaaap	0.704071175	0.447136003	-0.417176967
ABarpaapa	0	ABarpaapaa	ABarpaapap	0.93812661	0.060468812	-0.217152892
ABarpaapp	0	ABarpaappa	ABarpaappp	0.94946805	0.180085546	0.001707234
ABarpapaa	0	ABarpapaaa	ABarpapaap	0.933890038	-0.024434649	0.036965264
ABarpapap	0	ABarpapapa	ABarpapapp	0.93181403	0.131198891	-0.046669193
ABarpappa	0	ABarpappaa	ABarpappap	0.927714527	0.075172859	0.138663687
ABarpappp	0	ABarpapppa	ABarpapppp	0.943248728	-0.053240679	0.019953119
ABarppaaa	0	ABarppaaaa	ABarppaaap	0.945029399	0.109626029	0.07754901
ABarppaap	0	ABarppaapa	ABarppaapp	0.837309875	0.453725088	0.127213452
ABarppapa	0	ABarppapaa	ABarppapap	0.909096011	0.02056094	0.337809881
ABarpppaa	0	ABarpppaaa	ABarpppaap	0.90657786	-0.032617879	0.085381474
ABarpppap	0	ABarpppapa	ABarpppapp	0.869878495	-0.179069531	0.03646203
ABarppppa	0	ABarppppaa	ABarppppap	0.939515305	0.052211122	0.11807126
ABarppppp	0	ABarpppppa	ABarpppppp	0.832944804	0.16058592	0.462443468
ABplaaaaa	0	ABplaaaaaa	ABplaaaaap	0.934838821	0.165364745	-0.001296252
ABplaaaap	0	ABplaaaapa	ABplaaaapp	0.945237904	0.013938254	-0.102586747
ABplaaapa	0	ABplaaapaa	ABplaaapap	0.935329128	-0.103119479	-0.025766604
ABplaaapp	0	ABplaaappa	ABplaaappp	0.964677818	-0.053906778	-0.027850241
ABplaapaa	0	ABplaapaaa	ABplaapaap	0.939350618	0.041269156	-0.110737926
